storeId,cityName,openStatus,openTime,storeName,storeStar,serviceStar,envStar,tasteStar,speedStar,isOpenNet,scrapeHour,scrapeDate,operatingStatus,tier,maxSeatPeople
380104,胡志明市,1,10:00AM-01:30AM,河内店,4.5,,,,,-1,15,8/26/2020,正在营业,International,
380101,胡志明市,1,10:00AM-01:30AM,胡志明金融塔店,4.5,,,,,-1,15,8/26/2020,正在营业,International,
380102,胡志明市,1,10:00AM-01:30AM,Vincom Center Dong K,4.5,,,,,-1,15,8/26/2020,正在营业,International,
380103,胡志明市,1,10:00AM-04:00AM,Crescent Mall,4.5,,,,,-1,15,8/26/2020,正在营业,International,
400101,吉隆坡,1,11:00AM-8:00PM,Sunway,4.5,,,,,-1,15,8/26/2020,正在营业,International,
400102,吉隆坡,1,11:00AM-8:00PM,Pavilion Branch,4.5,,,,,-1,15,8/26/2020,正在营业,International,
400104,吉隆坡,1,11:00AM-8:00PM,1 Utama,4.5,,,,,-1,15,8/26/2020,正在营业,International,
400105,吉隆坡,1,11:00AM-8:00PM,Sunway Velocity Bran,4.5,,,,,-1,15,8/26/2020,正在营业,International,
400201,槟城,1,11:00AM-8:00PM,槟城 Gurney Parago,4.5,,,,,-1,17,8/26/2020,正在营业,International,
190101,列治文市,1,11:00AM-12:00AM,Richmond店（列治文店）,4.5,,,,,-1,15,8/26/2020,正在营业,International,
330101,悉尼,1,11：30AM-8:00PM,Chatswood Branch,4.5,,,,,-1,15,8/26/2020,正在营业,International,
330302,墨尔本,1,11:00AM-10:00PM,Glen Waverley Branch,4.5,,,,,-1,15,8/26/2020,正在营业,International,
420101,曼谷,1,平日11:00-20:00 假日10:00-20:00,CTW中央商场,4.5,,,,,-1,15,8/26/2020,正在营业,International,
350101,伦敦,1,11:00AM-11:00PM,London Piccadilly Br,4.5,,,,,-1,15,8/26/2020,正在营业,International,
170105,首尔市,1,10:00AM-5:00AM,永登浦店,4.5,,,,,-1,15,8/26/2020,正在营业,International,
170103,首尔市,1,早10:00AM~5:00AM,Y’Z PARK店,4.5,,,,,-1,15,8/26/2020,正在营业,International,
170102,首尔市,1,早10:00AM~5:00AM,W Tower店,4.5,,,,,-1,15,8/26/2020,正在营业,International,
170101,首尔市,1,10:00AM-05:00AM,明洞mighty大厦店,4.5,,,,,-1,15,8/26/2020,正在营业,International,
170106,首尔市,1,10:00AM-5:00AM,大学路店,4.5,,,,,-1,15,8/26/2020,正在营业,International,
170104,首尔市,1,早10:00AM~5:00AM,Starcity youngzone店,4.5,,,,,-1,15,8/26/2020,正在营业,International,
020140,北京市,1,早10:00~次日03:00,龙湖大兴天街店,4.9,4.9,5.0,4.9,5.0,1,17,8/26/2020,正在营业,Tier 1,5
020142,北京市,1,早10:00~次日03:00,房山天街店,5.0,5.0,5.0,5.0,5.0,1,17,8/26/2020,正在营业,Tier 1,
020131,北京市,1,早10:00~次日03:00,星城商厦店,4.9,4.9,4.9,4.8,4.9,1,17,8/26/2020,正在营业,Tier 1,8
020159,北京市,1,早10:00~次日03:00,首开福茂店,4.9,4.9,4.9,4.9,4.9,0,17,8/26/2020,正在营业,Tier 1,8
020170,北京市,1,早10:00~次日03:00,马驹桥天和嘉园店,4.5,4.4,4.5,4.5,4.4,1,17,8/26/2020,正在营业,Tier 1,
020155,北京市,1,早10:30~晚上22:00,荟聚中心店,4.9,4.9,4.9,4.9,4.9,0,17,8/26/2020,正在营业,Tier 1,8
020171,北京市,1,早10.00~晚上22:00,永旺梦乐城店,5.0,5.0,5.0,5.0,5.0,0,17,8/26/2020,正在营业,Tier 1,8
020174,北京市,11,早11:00~晚上22:00,住总万科广场店,4.9,4.9,4.9,4.9,4.9,1,17,8/26/2020,?,Tier 1,6
020133,北京市,1,早10:00~次日0:00,亦庄力宝店,4.9,4.9,4.9,4.9,4.9,1,17,8/26/2020,正在营业,Tier 1,
020136,北京市,1,早10:00~次日07：00,爱琴海购物公园店,5.0,4.9,5.0,5.0,5.0,1,17,8/26/2020,正在营业,Tier 1,
020146,北京市,1,早9:00~次日07:00,公益西桥华联店,4.9,4.9,4.9,4.9,4.9,1,17,8/26/2020,正在营业,Tier 1,6
020158,北京市,1,早10:00~次日07:00,马家堡新荟城店,4.8,4.8,4.9,4.8,4.9,1,17,8/26/2020,正在营业,Tier 1,8
020154,北京市,1,早10:00~次日07:00,合生广场店,4.9,4.9,4.9,4.9,4.9,1,17,8/26/2020,正在营业,Tier 1,8
020127,北京市,1,早10:00~次日07:00,万丰桥店,4.9,4.8,4.9,4.9,4.9,1,17,8/26/2020,正在营业,Tier 1,8
020163,北京市,1,早10:00~次日07:00,居然之家丽泽桥店,4.8,4.8,4.8,4.8,4.8,1,17,8/26/2020,正在营业,Tier 1,8
020116,北京市,1,早10:00~次日7:00,方庄店,4.9,4.9,4.9,5.0,5.0,1,17,8/26/2020,正在营业,Tier 1,
020164,北京市,1,早10:00~次日7:00,新年华购物中心,4.9,4.9,4.9,4.8,4.9,0,17,8/26/2020,正在营业,Tier 1,8
020145,北京市,1,早10:00~次日03:00,银座和谐广场店,5.0,5.0,4.9,5.0,5.0,1,17,8/26/2020,正在营业,Tier 1,8
020165,北京市,1,早10:00~次日03:00,大成路店,4.9,4.9,4.9,4.9,4.9,1,17,8/26/2020,正在营业,Tier 1,8
020179,北京市,1,早10：00~次日03：00,Plus365 购物中心店,4.9,4.9,4.9,4.9,4.8,1,17,8/26/2020,正在营业,Tier 1,8
020111,北京市,1,早10:00~次日07:00,石景山店,5.0,4.9,5.0,4.9,5.0,1,17,8/26/2020,正在营业,Tier 1,
020103,北京市,1,早10:30~次日07:00,劲松店,4.9,4.8,4.9,4.9,4.9,1,17,8/26/2020,正在营业,Tier 1,8
020134,北京市,1,早10:30~次日02:00,新世界百货店,4.8,4.8,4.8,4.8,4.9,1,17,8/26/2020,正在营业,Tier 1,6
020135,北京市,1,早10:00~晚上22:00,喜隆多店,4.9,4.8,4.9,4.9,4.9,0,17,8/26/2020,正在营业,Tier 1,8
020113,北京市,1,早10:00~次日03:00,翠微路店,4.9,4.9,4.9,4.9,4.9,1,17,8/26/2020,正在营业,Tier 1,
020106,北京市,1,早10:30~凌晨03:00,西单店,4.9,4.9,4.9,4.9,4.9,1,17,8/26/2020,正在营业,Tier 1,
020161,北京市,1,上午9:00~23:30,王府井银泰in88店,4.9,4.8,4.8,4.9,4.9,1,17,8/26/2020,正在营业,Tier 1,
